k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.286498125361176, 0.3585297358036041, 0.1402778556511021, -0.1449813205003739, 1.4693617281935256, -0.1810734379291535, 0.9843734166213027, -0.1847142088413239, 0.1003173011675644, -0.1588247376680374, 0.1735006325340652, -0.1106108087301254, -0.0193644836881943, -0.0495511102676392, 0.2163069150722218, 0.0143013065494597, 1.4222659813026832, 0.0716812317073345, 1.2481389967813752, 0.1151265692710877, 0.2001579036847496, 0.1396486726403236, 0.2532690362793731, 0.1430705827474594, 0.4208873320377922, 0.1260560718178749, 0.1956275877681732, 0.0918621835112572, 0.1679262503087044, 0.0458559845387936, 0.5558503546471644, -0.0051560993492603, -0.0424309057191525, -0.0537312361598015, -0.0057658556702347, -0.0926647815108299, -0.0163793065783691, -0.1158709037303925, -0.1002952122216949, -0.1191997039318085, -0.0344639603370209, -0.1011183965206146, 0.1801595016478348, -0.0631817239522934, 0.3636491650193214, -0.0102160046994686, 0.1617760713800923, 0.0498596974462271, 0.1313549613410702, 0.1066506919264793, 0.4242972157681084, 0.1484162849187851, 0.2802737002200699, 0.1637837183475494, 0.4250819530453491, 0.1441148561239242, 0.1628052014972572, 0.0865899515151978, 0.1774060771185589, 0.0390496779978275, 0.12070763961977, -0.1002250346541405, -0.0096974634662628, -0.1671276646852493, 0.2017817467276383, -0.1350657451152802]|29414.8828125000000000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[4.419297974275322, 0.7238475573062897, 0.3792854925558186, 0.4940366190671921, 0.762777274610762, -0.5640462446212768, 1.7921372315474502, -0.2093217442929745, 0.2076566386357117, 0.4390125316381455, 0.8340241663551712, -0.2213177490234375, 0.5550784989854507, -0.1571774888038635, 0.5999519727504444, -0.3630772466026246, 1.5441920058588432, 0.125492364615202, 1.4740121243610642, 0.1849811342358589, 0.4723337819711113, 0.0278986808657646, 0.8549705939156341, -0.0951804029941559, 0.4575747769332981, 1.2714155879616738, 0.2932655167904854, 1.2935663279891014, -0.496817351967144, -0.1683772648870945, 0.1498856224770594, 0.5030937199294567, -0.3607591074899349, 0.8397554424405098, 0.3727247711417465, -0.3109725150465965, -0.0374885001418304, -0.9148672926425934, 0.4772298670286407, -0.1232204493321478, 0.2747438665157776, -0.1407393771409988, 0.6812271400450516, 0.3452158313989639, 0.5508030557482719, 0.6741253067553044, 0.0385374854907528, -0.5302466801553964, 0.1599547376686802, 0.2477606800198555, 0.9402144573414422, -0.9421493965387344, 0.2103453298039055, 0.5322800767421723, 0.5380009856190491, 0.6372945946455002, 0.4924177248145943, 1.0301469159126282, -0.5204660251420308, -0.2411820064485073, 0.2756564106196785, 0.7945881453156471, 0.1285480148061752, -0.6094738501310348, -0.4830669790681076, -0.1434668102487922]|10089.6035156250000000|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[5.4300095249879075, 1.3771681678295136, 1.027407922403536, 0.1373807829618454, 4.418117469312911, -0.9195337998867035, 1.4531613847800247, -0.5239912639558315, -0.0771130454405975, 0.1876328331232071, 0.6176121883488083, -0.4028433221578598, 0.4069885089656524, -0.2743476885557175, 0.5104228905713749, -0.4287204975448549, 1.4984628343741344, 0.0957159683853388, 1.4564265990718863, 0.1761726862564683, 0.4693447110154474, 0.0282958327839151, 0.8568768102930265, -0.0930882531870157, 0.459052767465592, 1.2719473312422633, 0.2929131866338834, 1.2926994052063674, -0.4976167671345651, -0.1684115763568843, 0.1513349183787528, 0.5066785006597638, -0.3545301110491667, 0.8489320366457105, 0.352940911069253, -0.296019743680954, -0.0202684966114473, -0.8961598104983568, 0.4964061043137779, -0.1047832798399031, 0.2797176254591565, -0.1278212419897318, 0.6893597942872691, 0.3473575522471219, 0.5459711777455389, 0.6616460033506155, 0.018121601979448, -0.5584432031214237, 0.1246185784990063, 0.2064257790148258, 0.8945072203660107, -0.9901640112698078, 0.1624451485402203, 0.4871555683016777, 0.4984004531171131, 0.6058686454594135, 0.471507076185525, 1.0215501910820604, -0.5157340678070057, -0.2231280519813299, 0.3057883299291754, 0.8341440413892269, 0.1733608468338489, -0.5650865319371223, -0.4461679488595199, -0.1221838896349073]|6657.4921875000000000|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
      58|[3.526372696922989, 7.1988878142833705, -1.0072769982799672, -1.141341561935842, 2.9575948566396804, 1.1309611461870372, 2.169191869311099, -2.82727461822331, 0.183366890004294, 4.459640091732144, 0.261496320848615, -4.0873026128578935, -1.8615757217967697, -3.3754659001901746, -3.558985073815835, 11.458524750992655, -5.334829851074989, 27.585888015087694, -6.281418680204485, 8.039189816899597, -6.385007903710493, -8.88582744020503, -1.3258536053101189, 7.593107544099912, -9.995298211601792, -6.633921080287546, -10.236609463309945, -6.202109313355759, -7.442968975702348, -4.932286262679991, 53.21062008132682, -5.842886036746204, -2.618561862654383, -2.1465490265004337, -1.8462671957763641, -4.631092784479261, 0.0556482276680756, -0.3672753549367189, -0.1415944412438104, -0.2778488993830979, 0.7385371605544011, -2.704280030466616, -0.1450257686336738, 0.6476307831285522, -0.5871390096201345, 20.0664785695076, -1.8741200100973114, -3.775129895210266, -3.943632367270244, -6.612272398099304, -9.33581610268264, 12.152336782990023, -9.75494562622064, -6.682243887353689, 11.262858160876107, 37.41850141503848, -4.195760047517388, -4.294277206547559, -6.282691022070156, -5.8662228933721785, -2.587782834995476, 2.219377557495609, -1.6703991747791305, 2.417095477208495, 1.423759380617403, 1.5730614741146565]|396.4736938476562500|      1.00000000|[3283, 241, 0, 241]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[3.549560900496216, 7.205987900942564, -0.988155479921379, -1.1465373761206865, 2.9529545605381102, 1.127279720949009, 2.1667516623717447, -2.8283232569415127, 0.183727878695976, 4.461305051208473, 0.2642515266940753, -4.083757976088673, -1.857604921829123, -3.371467923298478, -3.555367255348516, 11.461373415058478, -5.333096177687782, 27.586225955699337, -6.282673933883604, 8.036240939497947, -6.389644995131084, -8.898660362134688, -1.3334153169045813, 7.584517063787207, -10.004507383470653, -6.643268556352705, -10.245566202988924, -6.21012292967178, -7.449491871470633, -4.936805674974021, 53.20855115986885, -5.842153898458928, -2.6148038051681173, -2.139692545887083, -1.8364149410131185, -4.618540299609304, 0.0704009751590777, -0.3510309639573097, -0.1247716561047265, -0.261552501488477, 0.7530336443944494, -2.692992873042822, -0.1384501851533753, 0.6479527313017752, -0.5945901625147805, 20.049828237369656, -1.8987886403098568, -3.8136899243295193, -3.9943107098510393, -6.675309376344085, -9.410950514136841, 12.065937078772112, -9.851153267285762, -6.786144245434553, 12.211238213919472, 37.308173038745295, -4.303649826429456, -4.395370491333306, -6.372431559177147, -5.9401486120373015, -2.641916622746674, 2.1880222584400326, -1.677618264439924, 2.432950675934553, 1.4582424930122126, 1.6171794240176678]|396.2752685546875000|      2.00000000|[3337, 245, 0, 245]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      60|[3.549560900496216, 7.205987900942564, -0.988155479921379, -1.1465373761206865, 2.9529545605381102, 1.127279720949009, 2.1667516623717447, -2.8283232569415127, 0.183727878695976, 4.461305051208473, 0.2642515266940753, -4.083757976088673, -1.857604921829123, -3.371467923298478, -3.555367255348516, 11.461373415058478, -5.333096177687782, 27.586225955699337, -6.282673933883604, 8.036240939497947, -6.389644995131084, -8.898660362134688, -1.3334153169045813, 7.584517063787207, -10.004507383470653, -6.643268556352705, -10.245566202988924, -6.21012292967178, -7.449491871470633, -4.936805674974021, 53.20855115986885, -5.842153898458928, -2.6148038051681173, -2.139692545887083, -1.8364149410131185, -4.618540299609304, 0.0704009751590777, -0.3510309639573097, -0.1247716561047265, -0.261552501488477, 0.7530336443944494, -2.692992873042822, -0.1384501851533753, 0.6479527313017752, -0.5945901625147805, 20.049828237369656, -1.8987886403098568, -3.8136899243295193, -3.9943107098510393, -6.675309376344085, -9.410950514136841, 12.065937078772112, -9.851153267285762, -6.786144245434553, 12.211238213919472, 37.308173038745295, -4.303649826429456, -4.395370491333306, -6.372431559177147, -5.9401486120373015, -2.641916622746674, 2.1880222584400326, -1.677618264439924, 2.432950675934553, 1.4582424930122126, 1.6171794240176678]|396.2752685546875000|      1.00000000|[3418, 251, 0, 251]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[3.6593343575465394, 7.146694194972515, -1.0107604334190272, -1.1487394436448812, 2.948136955985156, 1.120322163430974, 2.158425093730976, -2.83705421329476, 0.1756430962967388, 4.454898107894696, 0.2604401216537515, -4.084250437172596, -1.8543116024566628, -3.3642209042049944, -3.5443193286171084, 11.475747086321935, -5.31617711428358, 27.604638912667287, -6.2640413654646245, 8.053655820414424, -6.374980119787642, -8.88829991910141, -1.3288613297256298, 7.581887852149084, -10.015503063936947, -6.6635597786121075, -10.275777040710748, -6.250533623406664, -7.500013573044958, -4.996969910506305, 53.13958771414579, -5.9187185606174175, -2.6974522091107023, -2.2266368577443063, -0.8876838762166708, -4.707950552478433, -0.0169868846622419, -0.4342373046278953, -0.1311390228656957, -0.3304763697274029, 0.6937192928655664, -2.741508345603943, -0.1753997377489906, 0.6228675484412816, -0.6080086451313242, 20.04737671509385, -1.8914570962421462, -3.798199997767806, -3.972658354060901, -6.649766481965781, -9.383945387437036, 12.091960390312597, -9.8284144603824, -6.768684383500368, 12.221900893479955, 37.31115438275039, -4.308465836092501, -4.407238179370761, -6.3897103440631495, -5.960353452265263, -2.6618792296982683, 2.171850244263187, -1.6003801815541818, 2.4339036241103895, 1.4699691704299678, 1.6375292693078518]|394.9942016601562500|      2.00000000|[3487, 256, 0, 256]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 44 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      62|[3.705710764692993, 7.160894368290901, -0.9725173967018508, -1.1591310720145702, 2.9388563637820155, 1.1129593129549176, 2.153544679852267, -2.8391514907311652, 0.1763650736801028, 4.458228026847355, 0.2659505333446721, -4.077161163634155, -1.8463700025213696, -3.3562249504216015, -3.5370836916824704, 11.48144441445358, -5.3127097675091655, 27.605314793890575, -6.266551872822863, 8.047758065611124, -6.384254302628824, -8.900720971073024, -1.3439847529145545, 7.564706891523674, -10.033921407674669, -6.6622997381677855, -10.293690520068706, -6.266560856038705, -7.513059364581528, -5.006008735094365, 53.13544987122984, -5.9172542840428655, -2.6899360941381705, -2.2129238965176046, -0.8679793666901796, -4.682845582738519, 0.0125186103197623, -0.4017485226690769, -0.097493452587528, -0.2978835739381611, 0.7227122605456631, -2.7189340307563543, -0.1622485707883936, 0.6235114447877277, -0.6229109509206161, 20.014076050817966, -1.9456661199562117, -3.8753200560063124, -4.074015039222491, -6.775840438455344, -9.534214210345437, 11.919160981876775, -10.02082974251264, -6.976485099662096, 14.118660999566686, 37.09049763016402, -4.524245393916636, -4.609424748942256, -6.569191418277131, -5.811330098211766, -2.770146805200664, 2.1091396461520344, -1.614818360875769, 2.4656140215625055, 1.5389353952195872, 1.7257651691138745]|394.9785461425781250|      4.00000000|[3528, 259, 0, 259]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      63|[3.705710764692993, 7.160894368290901, -0.9725173967018508, -1.1591310720145702, 2.9388563637820155, 1.1129593129549176, 2.153544679852267, -2.8391514907311652, 0.1763650736801028, 4.458228026847355, 0.2659505333446721, -4.077161163634155, -1.8463700025213696, -3.3562249504216015, -3.5370836916824704, 11.48144441445358, -5.3127097675091655, 27.605314793890575, -6.266551872822863, 8.047758065611124, -6.384254302628824, -8.900720971073024, -1.3439847529145545, 7.564706891523674, -10.033921407674669, -6.6622997381677855, -10.293690520068706, -6.266560856038705, -7.513059364581528, -5.006008735094365, 53.13544987122984, -5.9172542840428655, -2.6899360941381705, -2.2129238965176046, -0.8679793666901796, -4.682845582738519, 0.0125186103197623, -0.4017485226690769, -0.097493452587528, -0.2978835739381611, 0.7227122605456631, -2.7189340307563543, -0.1622485707883936, 0.6235114447877277, -0.6229109509206161, 20.014076050817966, -1.9456661199562117, -3.8753200560063124, -4.074015039222491, -6.775840438455344, -9.534214210345437, 11.919160981876775, -10.02082974251264, -6.976485099662096, 14.118660999566686, 37.09049763016402, -4.524245393916636, -4.609424748942256, -6.569191418277131, -5.811330098211766, -2.770146805200664, 2.1091396461520344, -1.614818360875769, 2.4656140215625055, 1.5389353952195872, 1.7257651691138745]|394.9785461425781250|      2.00000000|[3610, 265, 0, 265]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[3.705710764692993, 7.160894368290901, -0.9725173967018508, -1.1591310720145702, 2.9388563637820155, 1.1129593129549176, 2.153544679852267, -2.8391514907311652, 0.1763650736801028, 4.458228026847355, 0.2659505333446721, -4.077161163634155, -1.8463700025213696, -3.3562249504216015, -3.5370836916824704, 11.48144441445358, -5.3127097675091655, 27.605314793890575, -6.266551872822863, 8.047758065611124, -6.384254302628824, -8.900720971073024, -1.3439847529145545, 7.564706891523674, -10.033921407674669, -6.6622997381677855, -10.293690520068706, -6.266560856038705, -7.513059364581528, -5.006008735094365, 53.13544987122984, -5.9172542840428655, -2.6899360941381705, -2.2129238965176046, -0.8679793666901796, -4.682845582738519, 0.0125186103197623, -0.4017485226690769, -0.097493452587528, -0.2978835739381611, 0.7227122605456631, -2.7189340307563543, -0.1622485707883936, 0.6235114447877277, -0.6229109509206161, 20.014076050817966, -1.9456661199562117, -3.8753200560063124, -4.074015039222491, -6.775840438455344, -9.534214210345437, 11.919160981876775, -10.02082974251264, -6.976485099662096, 14.118660999566686, 37.09049763016402, -4.524245393916636, -4.609424748942256, -6.569191418277131, -5.811330098211766, -2.770146805200664, 2.1091396461520344, -1.614818360875769, 2.4656140215625055, 1.5389353952195872, 1.7257651691138745]|394.9785461425781250|      1.00000000|[3693, 271, 0, 271]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      65|[3.705710764692993, 7.160894368290901, -0.9725173967018508, -1.1591310720145702, 2.9388563637820155, 1.1129593129549176, 2.153544679852267, -2.8391514907311652, 0.1763650736801028, 4.458228026847355, 0.2659505333446721, -4.077161163634155, -1.8463700025213696, -3.3562249504216015, -3.5370836916824704, 11.48144441445358, -5.3127097675091655, 27.605314793890575, -6.266551872822863, 8.047758065611124, -6.384254302628824, -8.900720971073024, -1.3439847529145545, 7.564706891523674, -10.033921407674669, -6.6622997381677855, -10.293690520068706, -6.266560856038705, -7.513059364581528, -5.006008735094365, 53.13544987122984, -5.9172542840428655, -2.6899360941381705, -2.2129238965176046, -0.8679793666901796, -4.682845582738519, 0.0125186103197623, -0.4017485226690769, -0.097493452587528, -0.2978835739381611, 0.7227122605456631, -2.7189340307563543, -0.1622485707883936, 0.6235114447877277, -0.6229109509206161, 20.014076050817966, -1.9456661199562117, -3.8753200560063124, -4.074015039222491, -6.775840438455344, -9.534214210345437, 11.919160981876775, -10.02082974251264, -6.976485099662096, 14.118660999566686, 37.09049763016402, -4.524245393916636, -4.609424748942256, -6.569191418277131, -5.811330098211766, -2.770146805200664, 2.1091396461520344, -1.614818360875769, 2.4656140215625055, 1.5389353952195872, 1.7257651691138745]|394.9785461425781250|      0.50000000|[3774, 277, 0, 277]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      66|[3.7256868031787587, 7.175973365530371, -0.9466506199970626, -1.1655518906377256, 2.933515015078065, 1.1092142283264548, 2.1517346195039053, -2.838876575046452, 0.178688410812214, 4.462389418254606, 0.2715864477374414, -4.0705410065897745, -1.8393524077592232, -3.3494609459489584, -3.531255659878058, 11.485654869796708, -5.310767424081366, 27.6043970986607, -6.2775518541368065, 8.039695172086358, -6.396381442234405, -8.91707159429323, -1.3645828925284214, 7.539973716931417, -10.062543930624841, -6.694440395473503, -10.328864267757238, -6.304184086406604, -7.552468245798769, -5.046480028126535, 53.614642694401454, -5.9575576074607675, -2.7290076465935957, -2.250037943031639, -0.902468990892431, -4.653252752050758, -0.0150623512652825, -0.4252609773725271, -0.1166954968212077, -0.3126709582470357, 0.7123018185286443, -2.7251467141509056, -0.1645785875988406, 0.6246238121634815, -0.6189058144866273, 20.02033581769094, -1.937852967099087, -3.866688383296132, -4.065300509536815, -6.76774430602789, -9.527366911175688, 11.924236010974273, -10.017909173126307, -6.97592958635185, 14.11683660942353, 37.08648961361497, -4.530025971576243, -4.616363363359124, -6.576500056466119, -5.818099912274629, -2.775427888020811, 2.106226489627734, -1.6147041803133915, 2.469003013141919, 1.5451932524156202, 1.7335349586606026]|394.6510925292968750|      1.00000000|[3802, 279, 0, 279]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      67|[3.7256868031787587, 7.175973365530371, -0.9466506199970626, -1.1655518906377256, 2.933515015078065, 1.1092142283264548, 2.1517346195039053, -2.838876575046452, 0.178688410812214, 4.462389418254606, 0.2715864477374414, -4.0705410065897745, -1.8393524077592232, -3.3494609459489584, -3.531255659878058, 11.485654869796708, -5.310767424081366, 27.6043970986607, -6.2775518541368065, 8.039695172086358, -6.396381442234405, -8.91707159429323, -1.3645828925284214, 7.539973716931417, -10.062543930624841, -6.694440395473503, -10.328864267757238, -6.304184086406604, -7.552468245798769, -5.046480028126535, 53.614642694401454, -5.9575576074607675, -2.7290076465935957, -2.250037943031639, -0.902468990892431, -4.653252752050758, -0.0150623512652825, -0.4252609773725271, -0.1166954968212077, -0.3126709582470357, 0.7123018185286443, -2.7251467141509056, -0.1645785875988406, 0.6246238121634815, -0.6189058144866273, 20.02033581769094, -1.937852967099087, -3.866688383296132, -4.065300509536815, -6.76774430602789, -9.527366911175688, 11.924236010974273, -10.017909173126307, -6.97592958635185, 14.11683660942353, 37.08648961361497, -4.530025971576243, -4.616363363359124, -6.576500056466119, -5.818099912274629, -2.775427888020811, 2.106226489627734, -1.6147041803133915, 2.469003013141919, 1.5451932524156202, 1.7335349586606026]|394.6510925292968750|      0.50000000|[3883, 285, 0, 285]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
